Age,Avg_Monthly_GB_Download,Avg_Monthly_Long_Distance_Charges,CLTV,Dependents,Device_Protection_Plan,Gender,Internet_Service,Married,Monthly_Charge,Multiple_Lines,Number_of_Dependents,Number_of_Referrals,Online_Backup,Online_Security,Paperless_Billing,Partner,Phone_Service,Population,Premium_Tech_Support,Referred_a_Friend,Satisfaction_Score,Senior_Citizen,Streaming_Movies,Streaming_Music,Streaming_TV,Tenure_in_Months,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Refunds,Total_Revenue,Unlimited_Data,Monthly_to_Total_Ratio,Tenure_Quartile,Early_Churner_Risk,Low_Satisfaction,Contract_One_Year,Contract_Two_Year,Internet_Type_DSL,Internet_Type_Fiber_Optic,Internet_Type_No_Internet,Offer_Offer_A,Offer_Offer_B,Offer_Offer_C,Offer_Offer_D,Offer_Offer_E,Payment_Method_Credit_Card,Payment_Method_Mailed_Check,Churn
0.32779394448902216,-0.07422094054604492,1.7292042281772586,-0.1473370321688282,1.8245070732210271,1,1,1,1,1.2077378092018058,0,1.5905829883125042,2.6818293326703544,1,1,1,1,1,1.1382213905725462,1,1,3,0,0,0,1,1.532711678969084,-0.27330037394865414,3.2220658064703462,-0.24831296685183654,2.595922520186928,1,-0.5119869468455754,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0.38749842237865134,-0.8088851646617503,-0.11710698686849216,-1.7230278946007667,-0.5480932437464201,0,0,1,1,0.46989994112804756,1,-0.4868349044431689,-0.31718476167849363,0,1,0,1,1,-0.5345213697270402,0,1,3,0,0,0,0,-0.6269994788350788,-0.27330037394865414,-0.4601338134256548,-0.24831296685183654,-0.4627848288139043,1,-0.35155020461686076,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.9248387233853144,-0.17217617042813899,-0.6188219909570112,-1.3654542707763515,-0.5480932437464201,0,1,1,0,-0.6900343649879066,0,-0.4868349044431689,-0.6504085499394767,0,0,0,0,1,-0.998284335690258,0,0,5,0,0,0,0,-1.2789877528891658,-0.27330037394865414,-0.8690046166485847,-0.24831296685183654,-1.039084776770732,1,3.0009722621235095,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
-0.6871821796346748,-0.6129747048975622,-0.4414414604792638,-1.785582145577142,-0.5480932437464201,1,1,1,0,0.15249671409631763,0,-0.4868349044431689,-0.6504085499394767,0,0,1,0,1,0.8876882111822832,0,0,3,0,1,1,1,-0.8714950816053614,-0.27330037394865414,-0.6751231963365475,-0.24831296685183654,-0.7485473691759263,1,-0.21011532712734107,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-0.6871821796346748,-0.8088851646617503,-1.4863034173810314,-0.2377870977698032,-0.5480932437464201,1,0,1,0,-0.46569176996548,0,-0.4868349044431689,-0.6504085499394767,0,0,1,0,0,-0.3184075439121898,0,0,3,0,1,1,1,0.26948439798929075,-0.27330037394865414,-0.8848326356091142,-0.24831296685183654,-0.35706061208801054,1,-0.47272253301975964,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
-0.6274777017450455,0.2686223640412843,-1.4863034173810314,-1.7526143646571604,1.8245070732210271,1,1,1,0,-0.8196545310008642,0,2.629291934690341,-0.6504085499394767,0,1,0,0,0,-0.8184337573923601,1,0,4,0,0,0,0,-0.3825038760647962,-0.27330037394865414,-0.8848326356091142,-0.24831296685183654,-0.7597306108527095,1,-0.39440192575269123,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
1.7607014138401236,0.4155552088644254,0.09458437614692194,-1.3121986246748427,-0.5480932437464201,0,1,1,1,0.18074726309914202,0,-0.4868349044431689,1.682157967887405,0,0,1,1,1,1.5340439566897917,0,1,3,1,0,0,0,-0.8714950816053614,-0.27330037394865414,-0.5675399152227399,-0.24831296685183654,-0.674016857464206,1,-0.25835948742642273,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
0.7457252897164267,-1.0047956244259384,1.639866588739561,0.29984132954066506,1.8245070732210271,0,0,0,1,-1.3530913680541898,1,2.629291934690341,0.6824866031044556,0,0,1,1,1,-1.023389660894302,0,1,4,0,0,0,0,1.614210213225845,-0.27330037394865414,3.22204218256145,-0.24831296685183654,0.7510122507199262,0,-0.5134034487074665,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0.029271555040876,-0.46604186007442117,-1.0519153299701973,0.8391604122829273,-0.5480932437464201,1,1,1,0,1.0083221691818711,1,-0.4868349044431689,-0.6504085499394767,1,0,1,0,1,-1.0011683749321538,0,0,3,0,1,1,0,0.2287351308609103,-0.27330037394865414,-0.5836514210900251,-0.24831296685183654,0.3182550037486507,1,-0.47075930859451026,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
-0.7468866575243039,0.12168951921814321,0.7011740004449121,1.2694322196744812,-0.5480932437464201,0,0,1,0,0.3485887601159204,1,-0.4868349044431689,-0.6504085499394767,0,0,0,0,1,-0.2661638822352242,0,0,3,0,0,0,0,-0.8714950816053614,-0.27330037394865414,-0.44579410072559306,-0.24831296685183654,-0.6192105962879108,1,-0.25623569039932675,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
